,Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
58,Chicken Breast,285,13.9,46.2,31.8,8.8,28.8,764,103,257
59,Banana,244,2.6,93.3,22.2,3.6,40.0,675,268,831
60,Coffee,484,29.7,70.2,37.9,8.6,32.7,569,176,269
61,Chicken Breast,592,34.7,55.6,21.1,2.9,35.3,561,116,859
62,Orange,57,8.4,65.5,35.9,8.4,49.3,973,67,845
63,Eggs,434,47.5,34.2,25.5,6.0,15.9,247,11,522
64,Broccoli,527,16.1,76.4,34.7,4.5,22.0,360,61,727
65,Butter,538,36.3,17.8,29.8,2.0,42.9,39,18,818
66,Coffee,276,20.7,97.9,27.3,4.7,4.8,168,142,202
67,Apple,558,12.3,55.4,26.1,4.1,4.8,38,147,750
68,Strawberry,308,42.1,25.7,3.1,7.8,18.6,355,233,510
69,Grapes,56,41.9,77.4,29.2,1.2,17.0,552,30,937
70,Pork Chop,565,4.8,45.9,45.1,7.9,17.1,213,122,971
71,Cheese,91,11.1,76.6,38.8,8.6,12.7,88,35,736
72,Spinach,282,12.0,54.0,6.6,2.2,29.4,198,81,332
73,Pasta,563,46.0,19.4,34.3,6.6,23.2,570,235,265
74,Cookies,566,45.4,8.8,44.5,4.8,28.2,527,166,655
75,Carrot,315,9.1,67.7,39.1,3.8,20.8,612,227,828
76,Butter,216,11.5,24.5,2.6,9.3,1.7,369,85,143
77,Orange,589,48.4,67.0,24.3,5.9,9.5,159,131,653
78,Orange,381,49.6,7.8,37.7,4.9,1.5,85,185,899
79,Potato,161,30.4,72.8,31.4,7.3,38.4,934,62,569
80,Chicken Breast,57,22.3,10.4,14.3,10.0,11.1,935,75,320
81,Oats,499,36.6,74.4,34.6,8.8,18.0,976,140,487
82,Orange Juice,412,41.9,5.5,14.4,4.5,27.4,816,8,179
83,Coffee,575,38.4,94.0,1.1,4.7,45.4,343,72,323
84,Cookies,362,47.2,47.7,23.9,1.7,17.2,174,211,130
85,Strawberry,492,34.3,27.1,16.6,8.4,45.6,950,297,593
86,Pasta,470,16.2,51.4,24.2,6.1,31.0,865,144,912
87,Butter,509,45.5,72.6,40.7,9.2,39.5,311,115,734
88,Banana,296,6.8,20.6,11.5,1.2,39.8,107,250,709
89,Water,181,6.6,12.9,45.2,2.1,33.0,98,86,234
90,Orange,572,40.1,49.7,14.9,2.6,40.3,208,176,955
91,Milkshake,507,48.2,79.6,15.5,9.5,8.5,530,293,306
92,Grapes,346,36.7,47.9,34.7,4.0,34.9,107,288,639
93,Potato,537,44.4,28.2,17.5,7.0,30.7,597,99,122
94,Green Tea,425,23.1,30.9,9.2,8.2,36.4,201,145,101
95,Nuts,560,36.1,15.1,12.3,8.0,28.1,530,18,853
96,Milkshake,148,39.3,67.7,18.2,4.0,42.6,469,230,935
97,Nuts,322,36.0,56.7,21.1,0.9,31.1,645,236,362
98,Cookies,240,21.4,78.0,14.2,9.0,1.1,17,243,327
99,Yogurt,144,45.2,42.2,1.5,8.3,41.1,122,298,859
100,Chicken Breast,450,18.1,14.7,25.8,9.7,6.7,761,276,539
101,Bread,467,4.5,95.5,49.5,8.9,28.9,577,273,891
102,Nuts,309,22.2,7.9,35.6,9.7,41.2,38,271,468
103,Coffee,594,15.2,21.0,2.0,4.1,39.2,800,270,841
104,Rice,527,35.9,52.3,35.1,2.7,34.0,783,240,646
105,Bread,304,18.6,75.8,49.8,3.6,10.8,817,114,927
106,Milk,235,12.4,83.2,47.4,6.6,33.0,468,37,383
107,Milk,176,36.5,70.7,14.9,3.0,41.7,370,23,589
108,Carrot,484,13.6,69.1,30.8,3.6,10.5,373,300,888
109,Butter,131,34.6,12.5,17.0,3.8,31.7,704,174,667
110,Strawberry,543,29.7,67.8,7.0,3.6,14.7,835,152,423
111,Beef Steak,89,2.4,11.3,18.7,9.4,10.4,885,102,774
112,Pork Chop,359,10.8,54.5,8.7,4.3,46.7,712,246,775
113,Beef Steak,342,18.9,9.8,5.0,4.0,22.9,907,109,275
114,Bread,50,18.4,11.1,29.6,2.8,22.1,446,260,189
115,Salmon,403,47.1,45.8,38.6,0.7,23.3,259,279,694
116,Cheese,267,43.6,16.8,17.4,5.3,8.5,266,140,979
117,Beef Steak,537,50.0,96.3,23.6,5.4,42.6,142,63,831
118,Potato,519,14.5,38.5,20.7,1.0,18.4,889,215,273
119,Salmon,168,34.5,57.5,9.2,4.2,43.7,108,179,826
120,Coffee,122,17.1,70.4,21.0,6.4,5.8,196,189,865
121,Chocolate,153,46.7,91.0,45.0,7.0,49.7,494,38,751
122,Carrot,263,33.4,9.3,17.1,7.8,25.4,17,93,755
123,Spinach,253,11.5,43.5,21.7,6.3,45.4,335,183,214
124,Carrot,488,4.6,68.8,47.2,7.1,26.1,85,240,567
125,Potato,565,48.7,54.6,2.9,0.4,7.0,388,96,169
126,Grapes,179,1.4,47.7,20.3,4.8,27.0,595,292,209
127,Cheese,213,17.3,35.9,7.1,4.1,43.6,12,53,247
128,Broccoli,355,44.5,70.5,37.4,8.3,27.1,36,295,689
129,Nuts,178,28.0,64.6,35.4,8.3,35.3,672,230,518
130,Bread,530,36.3,58.0,32.3,8.4,21.7,93,49,288
131,Water,417,7.7,97.6,39.2,8.8,5.7,292,220,193
132,Chips,365,29.1,67.1,28.2,4.8,41.3,810,4,652
133,Banana,140,19.1,38.6,30.2,7.1,12.6,766,245,996
134,Chocolate,106,38.9,16.9,33.7,3.4,32.7,589,280,718
135,Cheese,410,23.9,51.4,16.1,2.2,14.5,783,215,817
136,Paneer,223,30.1,20.9,15.6,6.7,18.0,896,198,996
137,Cheese,160,41.1,34.7,14.7,4.6,8.6,341,249,931
138,Green Tea,224,22.3,28.7,10.1,3.8,25.7,656,229,350
139,Chocolate,336,40.8,71.1,46.9,3.5,37.1,646,43,405
140,Broccoli,343,41.8,62.8,19.3,4.2,33.0,666,266,326
141,Orange,454,43.4,82.9,5.8,7.2,14.7,440,125,970
142,Bread,199,6.2,52.4,9.0,6.3,1.1,676,246,454
143,Potato,444,28.6,77.5,9.6,1.7,6.9,698,61,605
144,Chips,139,7.0,73.1,3.1,3.9,10.0,768,275,428
145,Apple,121,8.7,55.9,10.3,1.1,26.0,745,264,159
146,Rice,287,2.2,91.8,31.5,9.1,26.9,592,250,334
147,Broccoli,541,6.7,87.7,4.4,0.8,41.8,187,104,211
148,Pasta,593,17.9,53.9,9.9,2.1,33.4,980,243,277
149,Broccoli,311,21.3,67.6,5.8,7.6,44.3,328,161,265
150,Bread,587,20.4,84.3,36.7,5.6,36.2,321,31,308
151,Grapes,391,12.6,20.4,2.2,5.9,11.4,10,130,861
152,Bread,79,10.0,89.4,12.9,7.7,29.8,164,212,387
153,Grapes,67,27.7,41.9,38.4,5.3,36.9,459,247,671
154,Cheese,587,5.5,54.5,47.4,1.8,8.7,41,55,633
155,Butter,136,33.7,37.7,42.0,4.3,15.2,540,117,789
156,Banana,561,45.4,56.8,31.8,8.2,35.5,318,93,364
157,Orange,447,9.0,40.7,34.6,7.8,40.1,905,36,261
158,Milkshake,204,25.4,18.2,45.1,9.1,27.0,46,292,444
159,Water,570,39.6,83.5,16.8,8.0,44.6,602,159,228
160,Apple,521,18.6,46.2,36.0,3.6,27.6,613,127,193
161,Quinoa,481,29.2,12.5,9.7,7.6,34.5,42,120,251
162,Nuts,369,38.2,16.8,4.1,6.9,4.1,70,165,686
163,Yogurt,568,2.3,11.8,16.2,5.0,22.7,90,213,353
164,Yogurt,172,6.9,25.7,29.1,7.2,45.5,509,198,100
165,Spinach,201,41.0,12.7,47.1,0.8,19.1,115,220,558
166,Green Tea,404,12.1,33.3,4.5,6.4,20.4,127,162,187
167,Chocolate,531,20.0,12.3,30.3,9.9,38.1,194,138,906
168,Spinach,115,8.7,6.7,35.1,4.7,26.0,261,85,538
169,Salmon,59,36.3,13.9,26.9,5.7,8.8,916,64,269
170,Popcorn,481,38.6,36.8,12.2,8.1,22.2,263,125,829
171,Milkshake,328,6.8,85.3,17.0,8.1,40.8,607,171,182
172,Banana,358,27.3,37.5,16.7,0.3,47.1,703,98,811
173,Eggs,530,43.6,18.1,10.5,7.1,1.0,26,255,629
174,Eggs,95,37.2,81.9,20.7,6.1,19.8,722,275,219
175,Chocolate,384,7.1,96.4,40.0,6.5,20.2,734,1,144
176,Milkshake,103,30.2,70.8,42.0,4.6,8.4,6,222,721
177,Carrot,289,14.0,52.9,17.1,2.9,6.5,53,98,839
178,Chocolate,551,35.6,13.8,4.0,8.2,21.5,134,288,186
179,Oats,497,18.0,70.8,42.8,9.5,30.5,665,7,848
180,Milkshake,414,22.0,67.8,8.4,2.2,2.2,648,159,899
181,Spinach,205,1.1,10.5,28.1,6.4,21.8,937,44,528
182,Salmon,574,20.4,92.9,35.0,3.9,44.0,49,32,246
183,Nuts,433,40.5,34.5,28.7,8.3,44.0,957,280,802
184,Banana,546,12.3,52.9,37.8,9.2,24.2,183,137,421
185,Water,410,16.9,15.1,4.0,7.5,9.2,10,57,888
186,Apple,79,18.1,74.7,19.7,0.2,46.6,270,36,671
187,Tomato,500,18.8,10.5,18.6,7.9,2.5,966,282,894
188,Grapes,425,25.3,83.8,7.4,8.6,25.1,206,48,233
189,Cookies,113,21.4,27.1,29.3,5.1,47.2,304,163,132
190,Chocolate,185,2.4,71.1,34.1,3.1,41.3,250,121,875
191,Water,559,26.3,63.2,33.1,4.1,5.6,502,154,880
192,Eggs,482,37.1,27.2,11.9,7.7,22.0,173,234,901
193,Cookies,542,16.6,42.3,28.8,2.2,28.3,700,99,768
194,Carrot,300,9.5,61.5,19.0,10.0,3.2,829,190,291
195,Butter,485,26.2,34.1,17.9,0.7,12.5,399,286,804
196,Orange Juice,71,6.7,90.0,31.2,2.6,22.0,372,22,672
197,Potato,181,43.1,87.1,38.2,2.7,18.4,76,266,669
198,Pork Chop,330,20.2,83.1,49.8,6.9,27.9,836,134,203
199,Chocolate,249,11.4,13.3,28.6,1.7,1.7,535,269,300
200,Spinach,224,41.5,78.3,24.6,6.9,17.7,70,126,189
201,Coffee,246,15.1,97.7,27.5,2.1,28.2,367,261,388
202,Beef Steak,499,26.9,25.2,26.7,7.1,21.0,645,40,610
203,Paneer,194,6.2,80.8,32.6,8.9,21.6,334,41,297
204,Milk,194,17.4,59.6,46.6,6.1,24.0,50,202,323
205,Salmon,200,21.8,28.4,34.2,5.2,20.9,511,157,393
206,Rice,244,10.6,74.4,34.2,0.1,41.5,668,170,570
207,Paneer,185,22.3,10.4,17.3,6.9,1.7,993,121,567
208,Strawberry,219,25.9,65.9,17.3,7.3,14.9,576,290,489
209,Salmon,403,8.8,78.3,5.7,4.9,38.6,60,239,913
210,Grapes,214,10.9,86.3,2.6,1.4,40.3,977,177,603
211,Apple,190,16.4,92.3,47.8,3.8,2.9,870,80,958
212,Cookies,157,21.7,10.6,33.8,8.2,0.9,822,85,806
213,Milkshake,550,49.2,88.3,12.2,0.1,32.3,69,1,192
214,Milkshake,319,32.4,86.4,46.9,5.5,17.4,601,189,570
215,Popcorn,68,45.2,73.9,13.9,0.5,28.8,275,242,617
216,Banana,519,5.9,45.5,41.7,7.8,9.0,319,283,971
217,Carrot,570,39.2,35.6,13.0,4.3,0.6,539,59,317
218,Cookies,406,30.3,95.8,42.4,2.6,44.0,752,286,250
219,Orange Juice,589,11.2,16.5,43.0,9.4,15.6,758,177,449
220,Orange,60,34.9,9.3,22.7,7.3,27.8,192,69,560
221,Green Tea,532,16.0,25.4,40.8,4.5,49.4,505,191,742
222,Apple,458,36.9,94.6,5.7,7.6,29.9,498,246,612
223,Potato,377,49.9,42.9,33.6,7.7,15.7,108,35,360
224,Pork Chop,563,9.5,18.2,16.6,6.7,25.6,108,174,615
225,Popcorn,204,49.6,75.5,22.6,9.9,7.6,620,85,746
226,Orange,218,37.1,98.1,18.2,1.3,18.7,97,120,557
227,Chocolate,369,33.1,16.9,5.7,5.6,18.3,517,260,548
228,Broccoli,463,44.9,6.3,33.4,6.7,26.5,987,170,263
229,Milk,487,16.8,17.6,32.3,7.2,36.3,661,110,925
230,Chicken Breast,84,30.6,38.8,15.5,5.3,14.6,110,4,874
231,Yogurt,156,1.0,83.5,16.8,1.7,16.6,331,100,515
232,Nuts,202,11.9,23.5,28.3,4.4,49.5,559,185,835
233,Cookies,558,40.3,45.0,15.8,6.2,20.7,608,239,971
234,Carrot,499,42.8,65.0,1.6,9.3,45.3,871,56,688
235,Coffee,519,28.6,52.9,43.1,1.7,20.3,922,222,825
236,Chips,235,29.0,85.4,26.3,7.3,47.9,257,278,308
237,Butter,295,34.1,27.1,42.6,7.8,49.9,178,239,172
238,Quinoa,323,25.0,94.3,31.2,5.3,13.3,447,32,350
239,Chocolate,245,46.1,9.8,48.3,3.2,19.3,0,221,399
240,Orange Juice,407,15.5,86.6,31.3,0.7,26.4,782,16,655
241,Chicken Breast,485,47.9,16.0,24.1,4.8,38.4,743,260,618
242,Oats,427,25.1,40.9,1.4,9.8,6.8,670,213,223
243,Salmon,277,15.7,8.9,45.6,6.4,34.1,617,101,260
244,Carrot,493,31.6,59.5,34.0,4.9,8.6,499,90,324
245,Cookies,338,5.4,99.3,23.2,5.2,32.1,733,27,150
246,Tomato,574,14.9,51.5,29.4,6.8,43.8,266,233,563
247,Tomato,514,14.9,93.4,20.3,7.1,17.1,11,293,160
248,Salmon,62,5.7,50.0,37.8,8.3,35.3,202,158,551
249,Apple,196,7.7,23.9,26.9,5.6,26.3,647,184,820
250,Broccoli,92,45.0,37.3,17.3,9.5,36.5,169,296,873
251,Chocolate,326,47.2,71.9,9.2,6.0,19.6,758,2,728
252,Apple,417,46.8,31.9,27.1,7.6,40.3,583,135,101
253,Milkshake,465,32.7,23.0,3.4,9.0,31.8,661,280,401
254,Quinoa,410,27.7,75.2,7.6,1.6,49.2,747,235,104
255,Chicken Breast,165,31.6,68.0,30.3,0.8,23.4,626,87,732
256,Pork Chop,440,41.6,50.8,35.1,7.5,43.7,249,220,735
257,Milkshake,501,10.5,84.7,30.9,9.7,19.5,419,138,132
258,Pork Chop,337,38.0,87.7,42.0,5.2,37.3,806,3,151
259,Cheese,492,2.5,80.1,31.2,0.9,47.9,655,253,210
260,Green Tea,159,45.1,40.7,36.0,9.6,22.8,938,20,105
261,Milk,481,9.1,20.9,42.8,8.6,42.9,392,165,707
262,Popcorn,60,23.9,18.5,34.0,4.4,2.1,293,85,653
263,Bread,561,36.7,35.5,12.6,0.8,25.1,458,225,431
264,Water,580,23.6,15.6,49.9,5.3,44.9,996,5,487
265,Popcorn,515,37.6,41.0,44.2,9.7,21.7,100,124,128
266,Popcorn,406,40.0,17.9,10.4,2.7,7.5,241,80,966
267,Nuts,344,24.3,26.3,4.7,3.0,17.1,966,274,206
268,Yogurt,98,4.6,32.7,34.9,5.7,38.0,898,127,943
269,Pork Chop,141,40.7,81.6,44.6,5.3,40.5,6,158,877
270,Green Tea,138,29.8,6.3,7.6,1.1,23.4,545,63,471
271,Eggs,256,16.3,75.0,37.9,9.1,6.1,262,159,512
272,Milkshake,267,30.4,70.3,25.9,8.1,46.2,172,3,323
273,Chocolate,488,21.7,82.1,15.0,0.8,30.6,107,287,144
274,Tomato,364,28.6,39.7,25.3,9.2,25.9,523,59,201
275,Milkshake,521,34.8,36.9,43.0,2.8,26.3,565,64,362
276,Potato,437,10.4,71.6,19.1,1.7,16.2,992,130,436
277,Carrot,588,46.6,14.1,14.9,3.2,36.2,992,236,148
278,Milkshake,470,13.1,93.5,29.9,4.8,33.9,699,116,524
279,Strawberry,343,1.6,47.7,24.5,1.1,0.5,41,39,558
280,Spinach,311,7.7,58.2,39.0,3.6,26.7,534,270,320
281,Chocolate,413,39.6,56.8,29.1,7.5,48.3,933,71,122
282,Milkshake,336,15.2,11.1,1.1,1.8,3.4,856,204,765
283,Orange,141,19.8,8.2,46.5,9.0,18.3,803,175,101
284,Quinoa,268,35.6,30.5,17.7,8.1,34.4,851,53,201
285,Rice,287,44.7,76.7,28.5,7.3,30.0,586,177,782
286,Apple,473,13.4,16.8,28.8,1.6,37.3,187,14,743
287,Green Tea,359,36.7,37.8,32.2,6.7,45.7,638,87,708
288,Tomato,405,4.1,9.4,41.6,7.7,12.5,562,9,211
289,Milkshake,353,33.2,64.3,44.3,2.7,18.2,739,86,425
290,Pork Chop,531,46.9,73.7,21.9,8.0,22.5,432,3,860
291,Tomato,169,29.7,41.7,35.5,4.0,23.2,501,163,728
292,Coffee,328,32.3,75.8,3.3,8.0,17.2,956,232,874
293,Chocolate,192,29.7,11.9,3.5,6.7,41.2,739,51,303
294,Green Tea,80,28.8,79.4,31.2,9.4,37.5,494,269,935
295,Chicken Breast,180,35.6,35.4,46.9,1.7,18.3,805,65,560
296,Nuts,206,17.2,28.1,48.7,0.7,2.3,612,261,794
297,Strawberry,563,16.3,91.7,26.9,3.7,49.9,882,1,987
298,Nuts,363,16.2,12.3,5.6,9.6,22.7,197,209,480
299,Milk,299,17.1,44.3,31.7,3.0,9.0,284,278,978
300,Cheese,300,45.3,39.1,10.8,5.4,7.2,356,181,753
301,Banana,423,18.7,82.2,32.3,3.3,29.5,88,238,977
302,Grapes,546,6.8,64.7,27.3,0.9,1.9,895,81,623
303,Beef Steak,520,18.3,77.9,40.6,2.5,21.5,391,198,541
304,Oats,528,21.3,7.8,6.2,2.7,13.8,8,74,405
305,Milkshake,570,14.1,7.1,15.8,9.4,5.9,215,158,741
306,Orange,549,25.0,23.7,38.6,2.6,17.1,715,202,791
307,Orange Juice,84,40.5,18.7,23.7,3.6,49.0,980,281,286
308,Rice,475,20.0,34.8,2.4,4.6,48.4,145,18,137
309,Quinoa,186,22.6,52.6,27.7,4.3,39.5,129,21,779
310,Water,435,44.1,56.3,40.6,6.0,30.4,297,265,373
311,Orange,196,23.3,26.2,6.2,8.8,26.5,701,99,442
312,Green Tea,589,12.5,88.7,27.8,2.6,27.5,859,134,488
313,Milk,166,33.4,81.9,19.9,9.0,43.6,970,261,424
314,Milk,214,12.0,18.8,25.0,10.0,0.4,769,217,741
315,Banana,261,27.5,75.7,24.3,4.8,24.9,33,226,387
316,Carrot,396,18.0,55.3,40.3,8.9,1.5,221,162,204
317,Paneer,552,23.2,35.8,16.7,0.2,14.9,510,63,349
318,Paneer,407,45.3,13.7,25.4,3.1,11.4,653,58,515
319,Rice,178,49.0,74.3,27.9,0.9,40.8,546,292,211
320,Water,569,26.7,36.3,32.6,7.9,9.0,639,240,883
321,Grapes,115,18.1,54.5,12.0,0.4,8.2,287,299,884
322,Cheese,457,21.6,83.9,9.8,7.6,3.0,205,300,967
323,Potato,512,24.8,38.9,28.9,6.6,12.7,74,216,239
324,Oats,259,37.0,8.8,4.0,9.9,24.3,866,49,692
325,Eggs,392,3.7,93.0,6.7,5.2,10.6,861,172,804
326,Butter,398,27.4,56.2,32.3,8.8,29.7,178,111,954
327,Pasta,304,10.9,15.0,21.6,1.1,18.8,341,249,204
328,Rice,479,45.6,83.8,32.4,5.3,6.5,749,36,707
329,Apple,62,6.6,36.2,14.2,2.0,46.6,317,288,476
330,Pork Chop,431,24.6,25.2,39.1,4.4,13.9,678,137,926
331,Pasta,167,42.4,13.4,43.1,4.4,3.3,130,209,170
332,Pasta,333,39.3,71.0,25.3,8.2,11.4,968,274,641
333,Cheese,434,46.2,97.4,19.9,7.1,27.9,649,15,585
334,Milkshake,374,41.6,44.0,4.3,2.1,5.0,69,61,430
335,Salmon,443,22.0,47.8,23.9,9.9,40.4,807,97,709
336,Beef Steak,79,29.7,24.8,13.8,5.6,49.6,289,85,617
337,Tomato,432,13.1,55.6,44.5,7.9,10.5,819,20,701
338,Milkshake,592,40.8,73.2,18.5,4.6,42.8,228,133,940
339,Broccoli,207,35.9,94.1,27.7,0.9,22.8,937,82,863
340,Milk,51,31.1,53.4,24.0,4.0,45.2,729,194,165
341,Broccoli,475,14.4,58.1,40.4,0.6,47.2,776,73,740
342,Orange,353,35.2,88.1,49.6,9.1,6.7,342,173,932
343,Chicken Breast,101,14.4,74.2,16.0,6.9,1.2,905,236,307
344,Water,402,23.0,57.0,13.4,7.9,0.6,746,299,170
345,Nuts,425,19.9,64.0,5.3,0.7,49.9,843,187,604
346,Strawberry,251,8.1,35.9,5.4,5.6,13.4,100,111,164
347,Oats,501,4.2,55.0,16.5,5.4,32.6,940,238,396
348,Apple,495,43.9,17.5,34.0,6.7,19.5,472,178,484
349,Beef Steak,221,40.7,5.1,32.6,8.8,0.7,879,86,395
350,Chicken Breast,128,39.9,45.4,31.3,3.1,6.3,34,48,334
351,Oats,110,31.9,44.1,22.5,6.7,33.2,957,33,623
352,Green Tea,231,41.3,10.8,45.7,2.7,8.7,804,230,295
353,Nuts,185,44.0,62.8,8.8,7.3,47.3,517,115,462
354,Pasta,294,11.3,51.4,28.0,9.9,28.5,509,241,685
355,Nuts,90,43.1,85.0,30.7,9.7,28.8,209,268,385
356,Coffee,397,33.5,26.0,37.7,8.4,21.1,838,199,149
357,Eggs,386,5.3,5.6,8.4,0.9,32.0,542,253,238
358,Rice,309,32.6,16.0,4.2,1.3,34.4,75,185,375
359,Chicken Breast,507,30.6,78.6,43.3,0.6,43.0,519,283,588
360,Quinoa,190,44.5,41.1,20.3,6.9,33.0,157,78,180
361,Butter,253,22.1,47.4,35.6,0.1,5.4,327,190,760
362,Apple,86,18.8,73.0,42.5,3.8,1.8,344,4,540
363,Chocolate,380,24.2,16.7,8.0,6.2,47.8,613,212,534
364,Cheese,101,17.8,22.5,2.8,1.4,34.1,572,186,431
365,Cookies,583,47.3,27.3,8.5,3.0,45.9,79,25,930
366,Popcorn,570,49.9,71.1,5.3,4.3,43.3,517,201,171
367,Chips,509,8.7,89.4,46.1,3.1,45.6,542,202,422
368,Pork Chop,328,19.6,97.2,39.0,7.8,30.3,347,263,606
369,Pasta,72,34.5,92.9,27.7,10.0,49.2,783,153,369
370,Chips,374,1.8,19.8,21.2,9.7,9.1,501,187,388
371,Milk,478,47.8,78.7,12.8,0.5,28.5,636,262,451
372,Chocolate,477,46.6,32.6,47.6,0.5,22.3,70,219,328
373,Eggs,473,11.9,59.4,11.9,1.7,39.5,146,148,435
374,Apple,497,30.9,76.4,24.9,5.7,8.6,249,32,183
375,Milk,80,7.0,48.9,28.0,8.6,3.6,818,71,511
376,Apple,515,24.8,30.7,44.1,9.5,12.8,358,169,580
377,Cookies,80,18.0,70.5,36.9,5.6,1.9,158,283,508
378,Spinach,55,25.0,84.2,42.2,2.7,42.6,145,92,179
379,Strawberry,383,4.2,26.8,49.2,0.2,25.9,687,22,812
380,Green Tea,184,22.1,42.3,3.8,3.9,5.5,49,58,365
381,Beef Steak,464,22.7,63.5,23.7,6.2,37.3,327,53,329
382,Milk,306,30.0,84.7,25.3,4.6,49.7,905,63,265
383,Carrot,481,43.6,66.3,4.9,3.9,1.7,487,197,243
384,Grapes,436,46.7,95.1,14.0,10.0,39.9,426,233,731
385,Broccoli,194,17.2,84.9,22.0,8.5,5.0,490,220,323
386,Yogurt,111,4.2,38.7,20.0,7.5,6.9,743,134,659
387,Pasta,252,29.9,33.2,16.1,0.7,33.6,603,21,851
388,Beef Steak,285,5.8,60.7,32.2,2.9,1.9,924,51,677
389,Bread,520,46.7,54.6,44.2,7.6,45.0,609,63,757
390,Apple,456,29.4,13.6,9.3,6.4,4.4,408,198,309
391,Green Tea,107,38.3,78.7,47.4,7.5,39.3,315,229,766
392,Bread,584,31.8,21.0,34.6,1.3,0.0,911,72,886
